name,track_number,duration_ms,track_id,album,release_date
Tim McGraw,1,232106,2Fn01AIMyHbha2ceNQeOqw,Taylor Swift,2006-10-24
Picture To Burn,2,173066,4BYejINgfZF0qKDMEH2cim,Taylor Swift,2006-10-24
Teardrops On My Guitar - Radio Single Remix,3,203040,2TF4UtYreqNbQ6Z9AccldU,Taylor Swift,2006-10-24
A Place in this World,4,199200,1oR4MUBpyNrAViC8wPNpfm,Taylor Swift,2006-10-24
Cold As You,5,239013,569sXXQ7t0jSdqHooi2yqs,Taylor Swift,2006-10-24
The Outside,6,207106,5Tj2MqcFMf60CaGsKbM1aq,Taylor Swift,2006-10-24
Tied Together with a Smile,7,248106,2zzxwmoOBnXDT0KnJsoIWk,Taylor Swift,2006-10-24
Stay Beautiful,8,236053,41sjzdjScVwnxnxADElts6,Taylor Swift,2006-10-24
Should've Said No,9,242200,6CdaXOq1MWe2JHDalTG01d,Taylor Swift,2006-10-24
Mary's Song (Oh My My My),10,213080,2O8sogKJCfVZ4rotBv1vVF,Taylor Swift,2006-10-24
Our Song,11,201106,1j6gmK6u4WNI33lMZ8dC1s,Taylor Swift,2006-10-24
I'm Only Me When I'm With You,12,213053,7CzxXgQXurKZCyHz9ufbo1,Taylor Swift,2006-10-24
Invisible,13,203226,1k3PzDNjg38cWqOvL4M9vq,Taylor Swift,2006-10-24
A Perfectly Good Heart,14,220146,0YgHuReCSPwTXYny7isLja,Taylor Swift,2006-10-24
Jump Then Fall,1,237066,6WWvcA62QlnRguluWAk6bv,Fearless,2008-11-11
Untouchable,2,311040,6ovFJkdau79DuXEvQjPaNH,Fearless,2008-11-11
Come In With The Rain,3,238093,0cEG04R5cldkTLzK6phlcn,Fearless,2008-11-11
SuperStar,4,261453,0XfTh16YcKPzdxMPTeKTAq,Fearless,2008-11-11
The Other Side Of The Door,5,237600,1yDJcXc549N6AabNBzFAku,Fearless,2008-11-11
Fearless,6,242000,2okho7vU7Nsq1UZD0kgIMi,Fearless,2008-11-11
Fifteen,7,294346,5Ora3Ish2A1JN5veGYTxhw,Fearless,2008-11-11
Love Story,8,235280,5hnJCRSo4pxRsaEwT9YusG,Fearless,2008-11-11
Hey Stephen,9,254320,3CI1f4yLwdHzcUnH7o0Xyh,Fearless,2008-11-11
White Horse,10,234440,5yKB8qcTSflDercM2PXwot,Fearless,2008-11-11
You Belong With Me,11,231146,4kgTdThcDHfuDS2kKxB7Lc,Fearless,2008-11-11
Breathe,12,263986,23qIWGhpwvDgC23TyZOUck,Fearless,2008-11-11
Tell Me Why,13,200560,4x7Gxk2GfwZJcqpoVT1PbR,Fearless,2008-11-11
You're Not Sorry,14,261800,3JhvYnOfKLJuWC7jEU0GmJ,Fearless,2008-11-11
The Way I Loved You,15,244240,4pEZUytwBzha5Un6m3SCFf,Fearless,2008-11-11
Forever & Always,16,225333,3NKCWBT2uKp8rxSkcvIrdX,Fearless,2008-11-11
The Best Day,17,245346,7CjuAoOiSrwWv7wJonAUmw,Fearless,2008-11-11
Change,18,281053,3gFaNwyiafgUoQhR0pHYA9,Fearless,2008-11-11
Sparks Fly,1,260946,09cM9BjyNFizKUOXh6j9rT,Speak Now,2010-01-01
Back To December,2,293040,0tr6XR58KBdDYd8qvHVTs8,Speak Now,2010-01-01
Speak Now,3,240773,2PBghI9zJkQEWBzMSMo2Ki,Speak Now,2010-01-01
Dear John,4,403887,1GeLxMgpeCnMJntwyW6rLw,Speak Now,2010-01-01
Mean,5,237746,6yM6QsnTCTVOkKEvg3hGlo,Speak Now,2010-01-01
The Story Of Us,6,265636,7vBlnGdfOLzVEqiOQQxeU8,Speak Now,2010-01-01
Never Grow Up,7,290480,57w0Uyk2jJAkO2hMJ36xJZ,Speak Now,2010-01-01
Enchanted,8,352200,3sqrvkNC6IPTIXvvbx9Arw,Speak Now,2010-01-01
Better Than Revenge,9,217173,55mh9j2aB7xZ1Oh463gK8k,Speak Now,2010-01-01
Innocent,10,302266,4LraIz87diVQdDK0rhi0S4,Speak Now,2010-01-01
Haunted,11,242093,72idZxdEHLbi2YI486c3sE,Speak Now,2010-01-01
Last Kiss,12,367146,1VCJ7vk3Y2DoJIAEOXe3V8,Speak Now,2010-01-01
Long Live,13,317960,7BFc7ffruhZ4Hecnqf5xju,Speak Now,2010-01-01
Ours,14,238173,0hK93KD6Y0j9giUGh4Valj,Speak Now,2010-01-01
If This Was A Movie,15,234546,5tSmAABuoOfR59lrtXdDqm,Speak Now,2010-01-01
Superman,16,276266,6aJ0ipi4EPmu1aTbFeXZnw,Speak Now,2010-01-01
Mine,17,230773,67Io3gxHwfbUreBf114c0u,Speak Now,2010-01-01
Back To December,18,293040,5aNkiOMxQXkpoEY5bTYoCh,Speak Now,2010-01-01
The Story Of Us,19,266480,2jt90bYlYDg1lXYWES34LJ,Speak Now,2010-01-01
State Of Grace,1,295720,0b16LTzby1YRVd2nq2Z0fw,Red,2012-10-22
Red,2,223093,7gJtmLyPTwKzhGzMBXtuXH,Red,2012-10-22
Treacherous,3,242760,7nECwCDHS1JvQbrmuorZIH,Red,2012-10-22
I Knew You Were Trouble.,4,219720,3lKZf71jeNi14udIFPJ29V,Red,2012-10-22
All Too Well,5,329160,6GNRkaWUB0Lwc19SdkTgx8,Red,2012-10-22
22,6,232120,3WC5CVAahvn98hiseoIvbw,Red,2012-10-22
I Almost Do,7,244560,1eyqSYBCTane4rl4vc6PWJ,Red,2012-10-22
We Are Never Ever Getting Back Together,8,193146,6kISMRfweKSvgHR0urMQFG,Red,2012-10-22
Stay Stay Stay,9,205853,0F2S1QlnMaOfmNHIgmES3k,Red,2012-10-22
The Last Time,10,299013,2Tz4JnXZOcjcp8fWfMjBBk,Red,2012-10-22
Holy Ground,11,202960,3KmYVOuK2eG7LGP7qQ8DLR,Red,2012-10-22
Sad Beautiful Tragic,12,284866,70e9zuv2pJc7ON1OUAJ1zl,Red,2012-10-22
The Lucky One,13,240266,5VQLMrWhailAhErKNUSnv1,Red,2012-10-22
Everything Has Changed,14,245413,5PjfMmF06QtxTPZBZHdhoZ,Red,2012-10-22
Starlight,15,220600,1gL4vMhDV3RgJQmDuY5HK1,Red,2012-10-22
Begin Again,16,239426,1yG491M3fRfowMdGN5pey4,Red,2012-10-22
The Moment I Knew,17,286613,4qTAwKJQ68gmnrnfPD3vlO,Red,2012-10-22
Come Back...Be Here,18,223920,1n8rB9AhxiAvVP1E2c3yOd,Red,2012-10-22
Girl At Home,19,220840,6VFpuI0DDmbC5UyWZQ4IRY,Red,2012-10-22
Welcome To New York,1,212600,3nRmDz7qGCvsMS30rGGY0x,1989,2014-01-01
Blank Space,2,231826,1u8c2t2Cy7UBoG4ArRcF5g,1989,2014-01-01
Style,3,231000,0ug5NqcwcFR2xrfTkc7k8e,1989,2014-01-01
Out Of The Woods,4,235800,0qUnBLZ8bJqUNEeQgayL9t,1989,2014-01-01
All You Had To Do Was Stay,5,193293,6aLOekfwbytwWvQftxTEF0,1989,2014-01-01
Shake It Off,6,219200,0cqRj7pUJDkTCEsJkx8snD,1989,2014-01-01
I Wish You Would,7,207440,5gRYrtvyVyaCRvLt56OfuV,1989,2014-01-01
Bad Blood,8,211933,2NlmmAjGYrrjAp0MED5rGx,1989,2014-01-01
Wildest Dreams,9,220440,4A4A6dwl5DqdqrZaEtKGPR,1989,2014-01-01
